name,gender,student_type,education_level,branch,study_hours,attend_hours,confidence,prefers_online_video,active_learner,sleep_hours,sleep_racing,exam_blank,overwhelm,friday_mood,self_doubt,workload_freq,goal_setting_freq,time_enough,puzzle_score,engagement,financial_stress,living_situation,phone_hours,friends_count,sgpa,atkt,has_internship,has_job,in_club,edtech_platforms,hobbies_count,social_interaction_freq,stress_base,motivation_base,social_base,digital_base,stress_level,learning_mode,at_risk_flag,gender_enc,student_type_enc,education_level_enc,branch_enc,sleep_racing_enc,friday_mood_enc,self_doubt_enc,goal_setting_freq_enc,financial_stress_enc,living_situation_enc,sleep_racing_num,goal_freq_num,digital_score,engagement_score,academic_pressure,social_score,study_efficiency,wellbeing_score
Ishita Kale,Female,Engineering,Engineering,Civil Engineering,4,17,4,0,1,7,Never,0,1,Exhausted and drained,Sometimes,2,Sometimes,5,2,3,Tight,Hostel,2,10,9.2,0,1,0,0,1,3,4,0.041,0.598,0.529,0.603,Low,Hybrid,0,0,1,1,5,1,1,1,4,3,1,0,2,3,21,3.8000000000000007,14,0.2222222222222222,14
Aishwarya Pawar,Female,Engineering,Engineering,BCA,3,19,3,0,1,7,Never,0,2,Neutral,"Yes, I doubt them",3,Always,3,4,5,Very Comfortable,Relatives,3,11,10.0,0,0,0,1,3,3,4,0.378,0.763,0.86,0.448,Medium,Offline,0,0,1,1,3,1,2,2,0,4,3,0,4,6,25,5.0,16,0.15,13
Geeta Kale,Female,Engineering,Engineering,B.Sc Nursing,5,12,3,0,0,5,Often,1,3,Tired but okay,Sometimes,1,Always,2,5,2,Financially Struggling,PG,4,0,5.9,0,0,0,1,1,4,1,0.602,0.669,0.385,0.825,High,Online,0,0,1,1,0,2,4,1,0,1,2,2,4,5,14,8.1,2,0.38461538461538464,12
Pranav Mane,Male,Engineering,Engineering,BCA,5,9,2,0,1,4,Sometimes,1,4,Tired but okay,"Yes, I doubt them",2,Often,1,3,2,Tight,Home,4,9,6.1,0,1,0,1,4,3,2,0.75,0.236,0.592,0.454,Critical,Hybrid,1,1,1,1,3,3,4,2,2,3,0,1,3,8,12,9.9,12,0.5,9
Swati Kumar,Female,Engineering,Engineering,Civil Engineering,2,19,3,1,0,6,Sometimes,0,2,Relieved,"No, I believe them",2,Always,3,2,5,Moderate,Home,4,6,8.6,0,1,0,0,3,1,2,0.405,0.763,0.724,0.271,Medium,Offline,0,0,1,1,5,3,3,0,0,2,0,1,4,9,24,5.4,8,0.1,10
Kirti Gaikwad,Female,Engineering,Engineering,BCA,5,6,1,1,1,4,Always,1,3,Tired but okay,"No, I believe them",3,Sometimes,1,2,3,Moderate,Home,7,1,7.0,0,1,0,0,1,4,1,0.689,0.345,0.372,0.484,High,Hybrid,0,0,1,1,3,0,4,0,4,2,0,3,2,10,10,9.0,2,0.7142857142857143,9
Devesh Deshmukh,Male,Engineering,Engineering,BCom,6,16,2,1,1,4,Always,1,3,Tired but okay,"Yes, I doubt them",4,Sometimes,2,3,3,Moderate,Hostel,4,3,4.5,0,1,0,1,3,2,2,0.627,0.318,0.374,0.825,High,Online,1,1,1,1,4,0,4,2,4,2,1,3,2,9,20,12.5,6,0.35294117647058826,8
Aishwarya Kulkarni,Female,Engineering,Engineering,Mechanical Engineering,6,3,2,0,1,4,Often,0,2,Exhausted and drained,"No, I believe them",4,Always,2,3,3,Tight,PG,4,2,4.1,0,0,1,1,2,2,2,0.536,0.365,0.211,0.884,Medium,Online,0,0,1,1,11,2,1,0,0,3,2,2,4,6,7,11.9,5,1.5,8
Rahul Salunkhe,Male,Engineering,Engineering,Electronics & TC,7,15,1,0,0,6,Sometimes,0,3,Neutral,"No, I believe them",3,Often,2,2,3,Financially Struggling,Home,6,5,6.3,0,0,0,1,4,1,1,0.542,0.427,0.568,0.309,Medium,Hybrid,0,1,1,1,7,3,2,0,2,1,0,1,3,10,18,9.7,7,0.4375,8
Swati Nair,Female,Engineering,Engineering,BCom,2,14,3,1,0,5,Never,1,4,Relieved,"Yes, I doubt them",3,Never,2,4,2,Financially Struggling,Hostel,5,4,6.0,0,0,1,0,4,4,2,0.691,0.483,0.401,0.809,High,Online,0,0,1,1,4,1,3,2,1,1,1,0,0,11,16,11.0,6,0.13333333333333333,12
Gauri Kumar,Female,Engineering,Engineering,Electronics & TC,4,9,2,1,1,6,Sometimes,1,4,Tired but okay,Sometimes,4,Rarely,1,4,2,Tight,Hostel,4,0,7.2,0,0,0,0,4,2,2,0.735,0.247,0.346,0.724,High,Online,1,0,1,1,7,3,4,1,3,3,1,1,1,10,12,10.8,2,0.4,10
Jay Salunkhe,Male,Engineering,Engineering,MBA,3,6,2,0,0,5,Always,1,3,Tired but okay,"Yes, I doubt them",1,Never,2,3,3,Comfortable,Hostel,4,3,7.0,0,1,0,0,1,1,4,0.69,0.444,0.315,0.632,High,Hybrid,0,1,1,1,8,0,4,2,1,0,1,3,0,5,9,7.0,7,0.42857142857142855,8
Vedant More,Male,Engineering,Engineering,Mechanical Engineering,6,19,3,0,0,7,Sometimes,0,3,Neutral,Sometimes,3,Always,3,2,4,Very Comfortable,Home,4,7,8.6,0,0,0,0,3,1,2,0.311,0.811,0.722,0.164,Low,Offline,0,1,1,1,11,3,2,1,0,4,0,1,4,7,23,7.4,9,0.3,11
Kunal Mane,Male,Engineering,Engineering,Computer Engineering,6,13,5,1,1,9,Sometimes,0,2,Energised,Sometimes,1,Often,3,3,2,Financially Struggling,PG,2,6,8.4,0,1,0,0,4,2,3,0.408,0.665,0.868,0.149,Medium,Offline,0,1,1,1,6,3,0,1,2,1,2,1,3,8,16,4.6,9,0.42857142857142855,16
Kirti Patel,Female,Engineering,Engineering,MSc Data Science,3,18,4,0,0,7,Never,0,2,Neutral,"Yes, I doubt them",1,Sometimes,3,2,3,Tight,Hostel,4,3,8.1,0,0,0,0,3,1,4,0.298,0.597,0.276,0.967,Low,Online,0,0,1,1,10,1,2,2,4,3,1,0,2,7,21,4.9,7,0.15789473684210525,12
Uma Sawant,Female,Engineering,Engineering,BCA,2,12,3,1,0,6,Often,0,3,Exhausted and drained,"No, I believe them",3,Rarely,1,3,2,Moderate,Home,5,7,5.8,0,0,0,0,3,1,3,0.526,0.842,0.837,0.147,Medium,Offline,0,0,1,1,3,2,1,0,3,2,0,2,1,10,14,10.2,10,0.15384615384615385,10
Bhakti Deshpande,Female,Engineering,Engineering,Computer Engineering,5,12,3,0,0,6,Often,1,3,Exhausted and drained,"No, I believe them",4,Never,2,2,2,Moderate,Home,8,5,6.0,0,0,0,0,3,2,1,0.676,0.848,0.705,0.303,High,Offline,0,0,1,1,6,2,1,0,1,2,0,2,0,11,14,11.0,6,0.38461538461538464,11
Geeta Deshpande,Female,Engineering,Engineering,BCom,4,7,1,0,0,5,Always,1,2,Tired but okay,Sometimes,2,Sometimes,2,4,4,Very Comfortable,Home,5,12,5.9,0,0,0,0,3,1,2,0.606,0.546,0.788,0.163,High,Offline,0,0,1,1,4,0,4,1,4,4,0,3,2,8,11,8.1,14,0.5,7
Vivek Patel,Male,Engineering,Engineering,BCom,4,17,2,1,1,7,Never,0,1,Energised,Sometimes,2,Always,4,3,3,Tight,Home,3,9,6.5,0,1,0,0,1,4,4,0.062,0.418,0.631,0.808,Low,Hybrid,0,1,1,1,4,1,0,1,0,3,0,0,4,6,21,6.5,13,0.2222222222222222,13
Waqar Jadhav,Male,Engineering,Engineering,BCom,4,10,1,0,1,5,Always,1,4,Relieved,Sometimes,2,Often,3,3,4,Comfortable,Hostel,5,12,4.4,0,0,0,0,4,2,2,0.589,0.251,0.448,0.879,High,Online,0,1,1,1,4,0,3,1,2,0,1,3,3,9,15,11.6,14,0.36363636363636365,8
Divya Mohite,Female,Engineering,Engineering,BA English Literature,6,7,1,0,1,5,Always,1,3,Tired but okay,"Yes, I doubt them",4,Sometimes,1,3,3,Comfortable,Home,4,7,6.7,0,0,0,0,2,2,2,0.706,0.458,0.642,0.534,High,Hybrid,0,0,1,1,1,0,4,2,4,0,0,3,2,6,11,10.3,9,0.75,8
Harsh Shah,Male,Engineering,Engineering,Electronics & TC,3,2,3,0,1,5,Sometimes,0,1,Relieved,Sometimes,4,Always,2,4,5,Moderate,Home,3,6,5.3,0,1,0,1,2,3,2,0.313,0.309,0.682,0.53,Low,Hybrid,0,1,1,1,7,3,3,1,0,2,0,1,4,5,8,9.7,9,1.0,11
Ananya Kale,Female,Engineering,Engineering,Computer Engineering,6,18,3,1,1,7,Sometimes,0,2,Energised,"No, I believe them",2,Sometimes,3,4,4,Tight,PG,4,5,8.2,0,1,0,0,4,4,4,0.398,0.529,0.32,0.749,Medium,Online,0,0,1,1,6,3,0,0,4,3,2,1,2,10,23,5.800000000000001,9,0.3157894736842105,14
Gauri Sharma,Female,Engineering,Engineering,Computer Engineering,4,16,4,1,1,7,Never,0,1,Relieved,"No, I believe them",2,Often,5,2,4,Tight,Home,3,10,8.6,0,0,0,0,1,2,3,0.171,0.911,0.755,0.284,Low,Offline,0,0,1,1,6,1,3,0,2,3,0,0,3,6,21,4.4,13,0.23529411764705882,13
Parth Mane,Male,Engineering,Engineering,Civil Engineering,2,7,2,1,0,4,Always,1,5,Exhausted and drained,"Yes, I doubt them",3,Never,1,4,2,Financially Struggling,Hostel,5,9,4.6,1,0,0,0,3,1,1,0.921,0.367,0.523,0.252,Critical,Hybrid,1,1,1,1,5,0,1,2,1,1,1,3,0,10,9,14.4,10,0.25,7
Bhavna Nair,Female,Engineering,Engineering,Electronics & TC,5,5,2,1,1,6,Always,1,4,Neutral,"Yes, I doubt them",3,Always,1,4,3,Moderate,Hostel,4,8,4.1,1,0,0,0,1,3,2,0.778,0.236,0.484,0.776,Critical,Hybrid,1,0,1,1,7,0,2,2,0,2,1,3,4,7,9,13.9,10,0.8333333333333334,11
Vidya Gaikwad,Female,Engineering,Engineering,B.Sc Nursing,2,2,3,1,1,4,Sometimes,0,3,Neutral,"Yes, I doubt them",3,Sometimes,2,4,3,Moderate,Hostel,5,6,6.2,0,1,0,0,3,1,1,0.545,0.487,0.689,0.269,Medium,Offline,0,0,1,1,0,3,2,2,4,2,1,1,2,10,6,9.8,7,0.6666666666666666,8
Uday Verma,Male,Engineering,Engineering,Civil Engineering,6,11,4,0,1,7,Never,0,2,Relieved,"No, I believe them",4,Always,3,4,5,Moderate,Relatives,3,8,8.9,0,0,0,0,3,1,3,0.347,0.77,0.42,0.464,Low,Hybrid,0,1,1,1,5,1,3,0,0,2,3,0,4,6,17,7.1,11,0.5,12
Sneha Kulkarni,Female,Engineering,Engineering,MBA,4,14,3,0,1,6,Often,1,4,Tired but okay,"Yes, I doubt them",4,Rarely,2,2,3,Moderate,Hostel,4,10,4.7,1,0,0,0,1,3,1,0.708,0.564,0.652,0.904,High,Hybrid,1,0,1,1,8,2,4,2,3,2,1,2,1,5,18,14.3,11,0.26666666666666666,12
Pooja Sawant,Female,Engineering,Engineering,Computer Engineering,4,18,2,1,1,4,Sometimes,0,2,Exhausted and drained,Sometimes,4,Often,4,2,3,Financially Struggling,Home,7,11,5.5,0,0,0,0,3,1,2,0.335,0.494,0.783,0.261,Low,Offline,0,0,1,1,6,3,1,1,2,1,0,1,3,12,22,10.5,13,0.21052631578947367,7
Sachin Sawant,Male,Engineering,Engineering,MBA,7,8,2,1,1,6,Always,1,4,Relieved,"Yes, I doubt them",3,Sometimes,1,4,1,Moderate,Home,7,9,5.9,0,1,0,1,2,1,1,0.835,0.653,0.734,0.218,Critical,Offline,0,1,1,1,8,0,3,2,4,2,0,3,2,11,10,11.1,11,0.7777777777777778,9
Ishita Shinde,Female,Engineering,Engineering,Electronics & TC,4,17,4,0,1,5,Always,1,3,Exhausted and drained,"Yes, I doubt them",2,Never,2,2,3,Moderate,Home,5,7,5.0,1,0,0,1,3,3,4,0.606,0.436,0.477,0.408,High,Hybrid,1,0,1,1,7,0,1,2,1,2,0,3,0,8,21,11.0,12,0.2222222222222222,12
Uma Mohite,Female,Engineering,Engineering,Computer Engineering,4,13,2,0,1,6,Often,1,3,Tired but okay,Sometimes,3,Never,1,1,2,Moderate,Home,4,7,5.3,1,1,0,0,2,3,2,0.744,0.279,0.484,0.655,High,Hybrid,1,0,1,1,6,2,4,1,1,2,0,2,0,6,16,11.7,9,0.2857142857142857,11
Uma Patil,Female,Engineering,Engineering,MSc Data Science,6,18,3,1,1,6,Never,0,1,Exhausted and drained,Sometimes,3,Often,3,3,4,Moderate,Home,1,6,7.1,0,1,0,0,3,2,4,0.257,0.662,0.614,0.341,Low,Offline,0,0,1,1,10,1,1,1,2,2,0,0,3,6,23,6.9,10,0.3157894736842105,11
Uday Bhosale,Male,Engineering,Engineering,Electronics & TC,5,12,4,0,1,5,Never,0,3,Relieved,"No, I believe them",1,Always,3,2,4,Moderate,Relatives,2,8,7.7,0,0,0,0,2,4,4,0.389,0.616,0.588,0.211,Medium,Hybrid,0,1,1,1,7,1,3,0,0,2,3,0,4,4,17,6.3,12,0.38461538461538464,13
Karan Nair,Male,Engineering,Engineering,BA Psychology,4,15,3,1,1,9,Sometimes,0,1,Exhausted and drained,"No, I believe them",1,Often,5,3,2,Moderate,PG,3,6,8.3,0,0,0,0,2,4,3,0.034,0.688,0.225,0.887,Low,Online,0,1,1,1,2,3,1,0,2,2,2,1,3,7,18,3.6999999999999993,9,0.25,16
Farhan Bhosale,Male,Engineering,Engineering,BCom,4,17,3,0,1,5,Often,1,3,Tired but okay,Sometimes,2,Never,3,3,2,Very Comfortable,Hostel,6,1,4.0,0,1,0,0,1,2,3,0.608,0.527,0.343,0.539,High,Hybrid,1,1,1,1,4,2,4,1,1,4,1,2,0,7,20,11.0,4,0.2222222222222222,10
Priya Pawar,Female,Engineering,Engineering,BCom,4,11,1,1,0,7,Sometimes,1,3,Tired but okay,"Yes, I doubt them",3,Often,2,2,2,Comfortable,Home,3,7,4.4,1,0,0,0,1,3,2,0.605,0.686,0.894,0.683,High,Hybrid,1,0,1,1,4,3,4,2,2,0,0,1,3,6,13,12.6,9,0.3333333333333333,11
Chinmay Mohite,Male,Engineering,Engineering,MBBS,6,8,2,1,0,5,Always,1,3,Exhausted and drained,Sometimes,3,Rarely,2,4,3,Moderate,Home,7,7,5.0,1,1,0,1,4,2,3,0.568,0.525,0.484,0.383,High,Hybrid,1,1,1,1,9,0,1,1,3,2,0,3,1,13,11,12.0,11,0.6666666666666666,9
Bhushan Shah,Male,Engineering,Engineering,BA English Literature,6,7,3,0,1,3,Often,1,3,Relieved,"No, I believe them",4,Sometimes,2,3,2,Moderate,Home,4,2,4.6,1,1,0,1,4,4,2,0.604,0.274,0.217,0.83,High,Online,1,1,1,1,1,2,3,0,4,2,0,2,2,8,10,13.4,5,0.75,10
Neha Deshmukh,Female,Engineering,Engineering,B.Sc Nursing,0,8,2,0,1,7,Never,0,1,Tired but okay,"No, I believe them",3,Never,4,3,4,Tight,Home,4,8,5.6,0,0,0,0,2,3,4,0.314,0.082,0.559,0.419,Low,Hybrid,0,0,1,1,0,1,4,0,1,3,0,0,0,6,13,8.4,12,0.0,12
Ishita Shah,Female,Engineering,Engineering,BA English Literature,4,10,2,0,1,5,Always,1,5,Neutral,"Yes, I doubt them",4,Rarely,1,3,4,Moderate,Hostel,5,4,6.3,0,1,0,0,4,2,1,1.0,0.087,0.609,0.707,Critical,Hybrid,1,0,1,1,1,0,2,2,3,2,1,3,1,9,15,12.7,5,0.36363636363636365,9
Chaitali Pawar,Female,Engineering,Engineering,MBBS,5,17,2,0,1,6,Always,1,3,Exhausted and drained,"Yes, I doubt them",4,Often,2,3,3,Tight,Hostel,5,10,4.8,0,0,1,1,3,1,3,0.57,0.454,0.54,0.464,High,Hybrid,0,0,1,1,9,0,1,2,2,3,1,3,3,8,21,12.2,14,0.2777777777777778,9
Jyoti Kumar,Female,Engineering,Engineering,Civil Engineering,6,18,3,0,1,6,Never,0,1,Neutral,"Yes, I doubt them",3,Always,3,1,3,Moderate,Home,4,4,9.0,0,0,0,0,2,1,4,0.338,0.683,0.382,0.987,Low,Online,0,0,1,1,5,1,2,2,0,2,0,0,4,6,22,5.0,8,0.3157894736842105,10
Pranav Sawant,Male,Engineering,Engineering,BCA,4,5,3,1,1,3,Often,1,4,Neutral,"Yes, I doubt them",2,Never,1,5,2,Tight,Relatives,5,4,6.7,0,1,0,1,2,4,2,0.799,0.33,0.446,0.721,Critical,Online,0,1,1,1,3,2,2,2,1,3,3,2,0,9,8,9.3,7,0.6666666666666666,10
Parth Kulkarni,Male,Engineering,Engineering,B.Sc Nursing,2,7,2,0,1,5,Sometimes,1,5,Tired but okay,Sometimes,3,Rarely,1,1,3,Moderate,Hostel,3,4,5.2,0,1,0,0,4,1,1,0.912,0.54,0.315,0.92,Critical,Online,0,1,1,1,0,3,4,1,3,2,1,1,1,7,11,12.8,5,0.25,8
Harshada Singh,Female,Engineering,Engineering,Civil Engineering,6,15,5,1,0,6,Never,0,1,Relieved,"No, I believe them",1,Sometimes,5,3,2,Moderate,Hostel,4,7,7.8,0,1,0,1,3,3,3,0.013,0.69,0.445,0.648,Low,Hybrid,0,0,1,1,5,1,3,0,4,2,1,0,2,9,17,4.2,11,0.375,14
Vidya Pawar,Female,Engineering,Engineering,MBBS,8,16,3,1,1,6,Always,0,3,Exhausted and drained,Sometimes,3,Sometimes,2,3,2,Comfortable,Home,5,0,5.6,0,0,0,0,1,1,3,0.506,0.382,0.364,0.58,Medium,Hybrid,0,0,1,1,9,0,1,1,4,0,0,3,2,8,19,10.4,3,0.47058823529411764,10
Priya More,Female,School,School,B.Sc Nursing,6,10,4,0,1,5,Never,0,1,Relieved,"Yes, I doubt them",3,Often,4,2,3,Moderate,Hostel,5,6,7.4,0,0,0,1,1,4,2,0.014,0.571,0.588,0.633,Low,Hybrid,0,0,3,3,0,1,3,2,2,2,1,0,3,6,14,6.6,9,0.5454545454545454,13
Rahul Shinde,Male,School,School,Electronics & TC,5,15,2,0,1,5,Sometimes,1,4,Tired but okay,Sometimes,3,Rarely,1,2,3,Comfortable,Hostel,7,0,5.1,0,0,0,1,2,2,1,0.806,0.172,0.225,0.282,Critical,Hybrid,1,1,3,3,7,3,4,1,3,0,1,1,1,9,19,11.9,2,0.3125,9
Geeta Sawant,Female,School,School,Computer Engineering,4,12,2,0,0,6,Sometimes,0,1,Exhausted and drained,"No, I believe them",2,Always,3,3,4,Moderate,Hostel,4,7,6.1,0,0,0,1,1,4,3,0.277,0.301,0.718,0.203,Low,Offline,0,0,3,3,6,3,1,0,0,2,1,1,4,5,16,6.9,11,0.3076923076923077,12
Pranav Joshi,Male,School,School,BCom,7,10,3,1,0,7,Never,0,1,Neutral,"No, I believe them",3,Sometimes,5,2,3,Moderate,Home,2,5,6.6,0,0,0,0,2,3,4,0.0,0.874,0.3,0.814,Low,Online,0,1,3,3,4,1,2,0,4,2,0,0,2,6,13,7.4,9,0.6363636363636364,13
Pooja Kulkarni,Female,School,School,MSc Data Science,2,11,4,0,1,6,Sometimes,1,4,Relieved,"Yes, I doubt them",4,Sometimes,2,5,2,Tight,Home,5,3,4.2,1,1,0,0,3,3,2,0.698,0.35,0.336,0.671,High,Online,1,0,3,3,10,3,3,2,4,3,0,1,2,8,14,14.8,5,0.16666666666666666,13
Riya Deshpande,Female,School,School,MBBS,4,15,3,0,1,4,Always,1,5,Neutral,"No, I believe them",4,Never,1,1,3,Comfortable,Home,3,7,5.8,0,1,0,0,1,4,1,0.923,0.516,0.433,0.785,Critical,Online,0,0,3,3,9,0,2,0,1,0,0,3,0,4,19,13.2,8,0.25,11
Tanmay Sawant,Male,School,School,B.Sc Nursing,3,15,3,1,0,6,Never,0,2,Relieved,"Yes, I doubt them",4,Always,4,4,3,Comfortable,Hostel,5,3,4.8,0,0,0,1,4,2,1,0.377,0.514,0.336,0.813,Medium,Online,0,1,3,3,0,1,3,2,0,0,1,0,4,11,18,11.2,5,0.1875,11
Kirti Mehta,Female,School,School,BA English Literature,1,5,2,1,1,5,Always,1,3,Tired but okay,"Yes, I doubt them",2,Rarely,1,4,4,Moderate,Home,3,8,5.8,0,1,0,0,2,3,2,0.704,0.206,0.736,0.418,High,Offline,1,0,3,3,1,0,4,2,3,2,0,3,1,7,10,9.2,10,0.16666666666666666,10
Aishwarya Joshi,Female,School,School,MBA,4,13,1,1,1,7,Always,1,3,Tired but okay,"Yes, I doubt them",4,Rarely,1,4,3,Comfortable,Hostel,5,6,5.4,0,0,0,1,1,4,3,0.577,0.308,0.724,0.296,High,Offline,0,0,3,3,8,0,4,2,3,0,1,3,1,8,17,11.6,10,0.2857142857142857,12
Sneha Mane,Female,School,School,BA English Literature,4,13,1,0,0,5,Sometimes,1,3,Tired but okay,Sometimes,3,Sometimes,1,3,2,Comfortable,Home,4,8,6.0,0,1,0,1,1,3,1,0.716,0.543,0.497,0.421,High,Hybrid,0,0,3,3,1,3,4,1,4,0,0,1,2,5,15,10.0,10,0.2857142857142857,9
Rohan Deshmukh,Male,School,School,BA English Literature,2,3,2,1,1,6,Often,1,4,Tired but okay,Sometimes,1,Never,1,2,2,Tight,Home,7,3,4.9,0,0,0,0,2,2,2,0.776,0.345,0.0,0.694,Critical,Online,1,1,3,3,1,2,4,1,1,3,0,2,0,11,6,10.1,5,0.5,10
Aniket Deshpande,Male,School,School,Computer Engineering,3,6,3,0,1,4,Never,0,1,Neutral,Sometimes,3,Always,3,4,4,Financially Struggling,Home,6,5,4.7,0,0,0,0,1,3,1,0.387,0.342,0.674,0.336,Medium,Offline,0,1,3,3,6,1,2,1,0,1,0,0,4,7,11,9.3,6,0.42857142857142855,10
Gauri Shinde,Female,School,School,Computer Engineering,3,15,2,0,1,6,Often,1,4,Tired but okay,"Yes, I doubt them",4,Sometimes,2,2,1,Moderate,Hostel,6,11,5.1,0,1,0,1,4,1,1,0.797,0.478,0.484,0.3,Critical,Hybrid,0,0,3,3,6,2,4,2,4,2,1,2,2,10,17,12.9,13,0.1875,9
Yash Kumar,Male,School,School,BA English Literature,6,16,4,1,1,7,Never,0,1,Relieved,"No, I believe them",1,Always,5,4,4,Tight,Home,5,0,6.8,0,0,0,1,1,4,3,0.018,0.807,0.068,0.694,Low,Online,0,1,3,3,1,1,3,0,0,3,0,0,4,8,21,5.2,4,0.35294117647058826,15
Rahul More,Male,School,School,MSc Data Science,6,22,2,1,1,6,Often,0,3,Relieved,"No, I believe them",1,Often,3,4,4,Moderate,PG,2,8,6.4,0,0,0,0,4,2,3,0.478,0.523,0.6,0.978,Medium,Hybrid,0,1,3,3,10,2,3,0,2,2,2,2,3,8,27,7.6,11,0.2608695652173913,10
Vidya Shah,Female,School,School,Computer Engineering,5,13,2,0,1,6,Often,0,1,Tired but okay,Sometimes,2,Sometimes,4,3,5,Very Comfortable,Hostel,6,4,7.7,0,1,0,1,1,2,4,0.152,0.573,0.537,0.867,Low,Hybrid,0,0,3,3,6,2,4,1,4,4,1,2,2,7,19,5.3,9,0.35714285714285715,10
Deepali Sawant,Female,School,School,MBBS,5,18,4,0,1,6,Never,0,2,Neutral,"No, I believe them",1,Always,4,4,4,Comfortable,Hostel,3,0,8.1,0,0,1,0,1,3,4,0.302,1.0,0.4,0.509,Low,Hybrid,0,0,3,3,9,1,2,0,0,0,1,0,4,4,23,4.9,4,0.2631578947368421,13
Arjun Patel,Male,School,School,BA English Literature,6,9,3,1,0,5,Always,1,3,Exhausted and drained,Sometimes,3,Never,1,3,3,Moderate,Home,7,3,7.4,0,0,0,0,4,1,4,0.672,0.268,0.243,0.928,High,Online,1,1,3,3,1,0,1,1,1,2,0,3,0,13,12,8.6,7,0.6,9
Kirti Shinde,Female,School,School,BA English Literature,3,15,3,1,0,6,Sometimes,1,3,Energised,"Yes, I doubt them",3,Rarely,1,4,1,Financially Struggling,Home,5,8,4.6,1,0,0,0,3,2,2,0.618,0.269,0.482,0.858,High,Hybrid,1,0,3,3,1,3,0,2,3,1,0,1,1,10,16,12.4,10,0.1875,11
Kunal Deshpande,Male,School,School,MSc Data Science,5,21,2,0,0,8,Sometimes,0,3,Exhausted and drained,Sometimes,3,Never,2,2,3,Financially Struggling,Home,4,0,6.4,0,0,0,0,3,2,1,0.526,0.65,0.318,0.656,Medium,Online,0,1,3,3,10,3,1,1,1,1,0,1,0,7,24,9.6,1,0.22727272727272727,12
Pranav Kale,Male,School,School,MBBS,7,19,4,0,1,7,Never,0,2,Relieved,"No, I believe them",1,Rarely,4,2,4,Comfortable,Hostel,6,2,6.3,0,0,0,0,1,3,2,0.351,0.559,0.382,0.596,Medium,Hybrid,0,1,3,3,9,1,3,0,3,0,1,0,1,7,24,6.7,4,0.35,14
Aniket Jadhav,Male,School,School,BA English Literature,8,16,3,1,0,5,Sometimes,0,2,Energised,Sometimes,3,Often,3,2,4,Tight,Relatives,3,4,8.0,0,0,0,1,1,3,4,0.362,0.692,0.203,0.918,Medium,Online,0,1,3,3,1,3,0,1,2,3,3,1,3,6,20,7.0,9,0.47058823529411764,11
Arjun Singh,Male,School,School,Civil Engineering,7,10,3,0,1,7,Sometimes,0,2,Relieved,Sometimes,1,Sometimes,2,4,3,Comfortable,Home,4,11,8.2,0,0,1,0,1,4,3,0.437,0.468,0.588,0.836,Medium,Hybrid,0,1,3,3,5,3,3,1,4,0,0,1,2,5,14,4.800000000000001,14,0.6363636363636364,14
Karan Joshi,Male,School,School,BCom,4,8,2,1,0,6,Often,1,5,Exhausted and drained,"Yes, I doubt them",3,Sometimes,1,3,2,Moderate,Home,5,6,5.3,0,0,0,1,3,1,2,0.894,0.357,0.889,0.452,Critical,Offline,0,1,3,3,4,2,1,2,4,2,0,2,2,10,10,12.7,9,0.4444444444444444,9
Pooja Jadhav,Female,School,School,BA English Literature,4,23,3,0,1,7,Never,0,1,Relieved,"Yes, I doubt them",3,Sometimes,5,5,2,Moderate,Home,4,2,7.4,0,0,0,0,1,3,4,0.127,0.447,0.081,0.547,Low,Hybrid,0,0,3,3,1,1,3,2,4,2,0,0,2,5,26,6.6,6,0.16666666666666666,13
Gauri Shah,Female,School,School,B.Sc Nursing,4,24,5,0,1,7,Sometimes,0,1,Tired but okay,"No, I believe them",1,Often,4,4,4,Moderate,Home,5,4,6.9,0,1,0,0,3,1,3,0.146,0.658,0.205,0.826,Low,Online,0,0,3,3,0,3,4,0,2,2,0,1,3,8,29,5.1,7,0.16,13
Devesh Singh,Male,School,School,MBA,7,4,3,1,0,7,Often,0,2,Tired but okay,"No, I believe them",3,Often,3,3,4,Financially Struggling,Hostel,8,1,6.0,0,0,1,1,4,1,1,0.413,0.28,0.339,0.739,Medium,Online,0,1,3,3,8,2,4,0,2,1,1,2,3,14,8,9.0,3,1.4,11
Ishaan Patel,Male,School,School,Civil Engineering,7,7,2,0,0,7,Never,0,2,Energised,"No, I believe them",4,Often,4,2,3,Tight,PG,4,1,5.4,0,0,1,0,3,2,1,0.27,0.502,0.369,0.717,Low,Online,0,1,3,3,5,1,0,0,2,3,2,0,3,7,10,10.6,2,0.875,11
Ishaan Nair,Male,School,School,Civil Engineering,2,19,4,1,0,8,Never,0,2,Tired but okay,Sometimes,4,Always,4,3,5,Comfortable,Hostel,4,9,8.0,0,0,0,0,2,2,4,0.209,0.688,0.714,0.413,Low,Offline,0,1,3,3,5,1,4,1,0,0,1,0,4,8,24,8.0,13,0.1,14
Farhan Deshmukh,Male,School,School,Civil Engineering,5,16,3,0,1,7,Never,0,2,Relieved,"No, I believe them",1,Always,2,3,3,Comfortable,Home,5,8,6.4,0,0,0,0,3,4,2,0.433,0.786,0.459,0.157,Medium,Hybrid,0,1,3,3,5,1,3,0,0,0,0,0,4,8,20,6.6,10,0.29411764705882354,14
